user_id,gender,occupation,age,zip_code,category_vector
1,F,1,10,48067,"0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
2,M,56,16,70072,"0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
3,M,25,15,55117,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
4,M,45,7,2460,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
5,M,25,20,55455,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,F,50,9,55117,"1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
7,M,35,1,6810,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
8,M,25,12,11413,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,M,25,17,61614,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,F,35,1,95370,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
11,F,25,1,4093,"0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0"
12,M,25,12,32793,"0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0"
13,M,45,1,93304,"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14,M,35,0,60126,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
15,M,25,7,22903,"1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
16,F,35,0,20670,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
17,M,50,1,95350,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
18,F,18,3,95825,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
19,M,1,10,48073,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
20,M,25,14,55113,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
21,M,18,16,99353,"1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
22,M,18,15,53706,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0"
23,M,35,0,90049,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
24,F,25,7,10023,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0"
25,M,18,4,1609,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
26,M,25,7,23112,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
27,M,25,11,19130,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
28,F,25,1,14607,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
29,M,35,7,33407,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
30,F,35,7,19143,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
31,M,56,7,6840,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
32,F,25,0,19355,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0"
33,M,45,3,55421,"0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
34,F,18,0,2135,"0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
35,M,45,1,2482,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
36,M,25,3,94123,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
37,F,25,9,66212,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
38,F,18,4,2215,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
39,M,18,4,61820,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
40,M,45,0,10543,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
41,F,18,4,15116,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0"
42,M,25,8,24502,"1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
43,M,25,12,60614,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
44,M,45,17,98052,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
45,F,45,16,94110,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0"
46,M,18,19,75602,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
47,M,18,4,94305,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
48,M,25,4,92107,"0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0"
49,M,18,12,77084,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
50,F,25,2,98133,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0"
51,F,1,10,10562,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
52,M,18,4,72212,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
53,M,25,0,96931,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
54,M,50,1,56723,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
55,F,35,12,55303,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
56,M,35,20,60440,"0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
57,M,18,19,30350,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
58,M,25,2,30303,"0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0"
59,F,50,1,55413,"0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0"
60,M,50,1,72118,"0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
61,M,25,17,95122,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0"
62,F,35,3,98105,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
63,M,18,4,54902,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
64,M,18,1,53706,"0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0"
